"id","question","question_concept","choices","gold_answer","M_output","M_confidence","M_Correctness","P_output","P_confidence","P_Correctness","Q_output","Q_confidence","Q_Correctness","M_output_d1","M_confidence_d1","M_Correctness_d1","P_output_d1","P_confidence_d1","P_Correctness_d1","Q_output_d1","Q_confidence_d1","Q_Correctness_d1","M_output_d2","M_confidence_d2","M_Correctness_d2","P_output_d2","P_confidence_d2","P_Correctness_d2","Q_output_d2","Q_confidence_d2","Q_Correctness_d2","M_output_d3","M_confidence_d3","M_Correctness_d3","P_output_d3","P_confidence_d3","P_Correctness_d3","Q_output_d3","Q_confidence_d3","Q_Correctness_d3","M_output_d4","M_confidence_d4","M_Correctness_d4","P_output_d4","P_confidence_d4","P_Correctness_d4","Q_output_d4","Q_confidence_d4","Q_Correctness_d4"
"075e483d21c29a511267ef62bedc0461","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","punishing","  A) ignore
  B) enforce
  C) authoritarian
  D) yell at
  E) avoid","A","A","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"61fe6e879ff18686d7552425a36344c8","Sammy wanted to go to where the people were.  Where might he go?","people","  A) race track
  B) populated areas
  C) the desert
  D) apartment
  E) roadblock","B","B","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"4c1cb0e95b99f72d55c068ba0255c54d","To locate a choker not located in a jewelry box or boutique where would you go?","choker","  A) jewelry store
  B) neck
  C) jewlery box
  D) jewelry box
  E) boutique","A","B","0.9","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"02e821a3e53cb320790950aab4489e85","Google Maps and other highway and street GPS services have replaced what?","highway","  A) united states
  B) mexico
  C) countryside
  D) atlas
  E) oceans","D","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"23505889b94e880c3e89cff4ba119860","The fox walked from the city into the forest, what was it looking for?","fox","  A) pretty flowers.
  B) hen house
  C) natural habitat
  D) storybook
  E) dense forest","C","C","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"e8a8b3a2061aa0e6d7c6b522e9612824","What home entertainment equipment requires cable?","cable","  A) radio shack
  B) substation
  C) cabinet
  D) television
  E) desk","D","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"09555c056f3cf0b7e0b84d8df4be1db7","The only baggage the woman checked was a drawstring bag, where was she heading with it?","drawstring bag","  A) garbage can
  B) military
  C) jewelry store
  D) safe
  E) airport","E","E","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"3d0f8824ea83ddcc9ab03055658b89d3","The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","mold","  A) carpet
  B) refrigerator
  C) breadbox
  D) fridge
  E) coach","B","B","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"86c59f14af97b33ec13edc6ec4389e31","What do people use to absorb extra ink from a fountain pen?","fountain pen","  A) shirt pocket
  B) calligrapher's hand
  C) inkwell
  D) desk drawer
  E) blotter","E","E","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"cae61908c731d4a20889e04c3e784ebe","Where is a business restaurant likely to be located?","restaurant","  A) town
  B) at hotel
  C) mall
  D) business sector
  E) yellow pages","D","D","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"1a7f5b3c65364d9be002576660c914fe","Where do you put your grapes just before checking out?","grape","  A) mouth
  B) grocery cart
  C) super market
  D) fruit basket
  E) fruit market","B","B","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"dac769116ed064bc70936c15eb822c3e","Before getting a divorce, what did the wife feel who was doing all the work?","getting divorce","  A) harder
  B) anguish
  C) bitterness
  D) tears
  E) sadness","C","C","0.8","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.85","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"f5c9664c9930b704f2724fbd617bee9d","Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?","bench","  A) state park
  B) bus depot
  C) garden
  D) gym
  E) rest area","C","E","0.8","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.85","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.9","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"b63b9809c203321d6659ddf8551894bf","James was cooling off two quickly.  He would die if he didn't find some way to stop what?","cooling off","  A) loss of heat
  B) revenge
  C) expansion
  D) relaxation
  E) calm down","A","A","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"527e72eb38950b8031ee6217ef531960","Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","house","  A) yard
  B) basement
  C) kitchen
  D) living room
  E) garden","C","C","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"e6766a66f8d326bf00fbf628a0e4ef24","Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","marsh","  A) low lands
  B) new york
  C) forest
  D) louisiana
  E) everglades","D","D","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"a76403b4921a9281b6ee2a7241a5ec9f","What is it called when you slowly cook using a grill?","grill","  A) backyard
  B) restaurant
  C) crockpot
  D) neighbor's house
  E) barbeque","E","E","1.0","CORRECT","E","1.0","CORRECT","","0.5","INCORRECT","E","1.0","CORRECT","E","1.0","CORRECT","","0.5","INCORRECT","E","1.0","CORRECT","E","1.0","CORRECT","","0.5","INCORRECT","E","1.0","CORRECT","E","1.0","CORRECT","","0.5","INCORRECT","E","1.0","CORRECT","E","1.0","CORRECT","","0.5","INCORRECT"
"ad96098698b8378b2e79c6424920ffbd","What type of person typically contracts illness?","illness","  A) hospital
  B) head
  C) sick person
  D) elderly person
  E) doctor's office","D","C","0.9","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"6d4ed2c485187ed79ff3bdcc8cca6132","Where would you expect to find a pizzeria while shopping?","pizzeria","  A) chicago
  B) street
  C) little italy
  D) food court
  E) capital cities","D","D","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"a40f5339ee858a0a119cbac052c5a2d0","When eating everything on the tasting menu, what does one tend to feel?","eating","  A) full stomach
  B) getting full
  C) gaining weight
  D) sick
  E) satisfaction","B","A","0.9","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"4850bf8b6b309548ef623d5592ffbca2","What does playing soccer for a long time lead to?","playing soccer","  A) excitement
  B) fatigue
  C) anger
  D) hurting
  E) getting tired","E","E","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"e6d99b4b76f74961a400ad0001b13b73","Which entrance would you use if you do not want to use the back entrance?","back","  A) side
  B) main
  C) anterior
  D) current
  E) front","B","E","1.0","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","1.0","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","1.0","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","1.0","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","1.0","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"f5950a62f9eaae34f1e914b3cf5208cf","You can share files with someone if you have a connection to a what?","connection","  A) freeway
  B) radio
  C) wires
  D) computer network
  E) electrical circuit","D","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"f36489668c28b26c0cdbc56cec1db27b","The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?","accelerator","  A) car
  B) fuel system
  C) accelerate
  D) boat
  E) airplane","E","E","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","E","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"0476192858e7f541611b5c2d3c5e5197","Sean was lying about the body, but he was very scared.  He constantly worried about what?","lying","  A) the reward money
  B) hurt feelings
  C) being found out
  D) problems
  E) trouble","C","C","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"df7861813910ae204c3bd0b3c16fe5d9","The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?","run errands","  A) park
  B) make time for
  C) receive instructions
  D) take money
  E) leave work","D","D","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"c12a904025471139df4f8860cc380c60","Though he could've kept going his body appreciated the rest, it had been constantly what during the day?","rest","  A) walk
  B) lay down
  C) working
  D) moving
  E) exercise","D","D","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"a69bd1bf3c06a233d696a00d71a9db36","Too many people want exotic snakes.  The demand is driving what to carry them?","snake","  A) ditch
  B) shop
  C) north america
  D) pet shops
  E) outdoors","D","D","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"84e983f432647531b55b8b72c12fb78a","Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?","stabbing to death","  A) knife wounds
  B) buy a gun
  C) bleeding
  D) jail time
  E) law suit","E","E","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"68f123f22be7bff13875e8b752b2d933","To prevent any glare during the big football game he made sure to clean the dust of his what?","dust","  A) television
  B) attic
  C) corner
  D) they cannot clean corner and library during football match they cannot need that
  E) ground","A","A","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"c9580b132b323906f0d51e7dc5b4ce29","I have something in my head I want to share, what ways can I do that?","express information","  A) write an essay
  B) organize thoughts
  C) speak information
  D) summarize main points
  E) have information","C","A","0.9","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","A","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"80930e9df9ac4ad752749a54e7fc124f","He wanted a house that was gated off from other places, where should he start looking?","house","  A) neighborhood
  B) subdivision
  C) city
  D) suburbs
  E) street","B","B","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","B","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"f080ab037c1aaf689a43cc030e9d93e9","Where in Southern Europe would you find many canals?","canal","  A) michigan
  B) new york
  C) amsterdam
  D) venice
  E) bridge","D","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"a261d4eaf8b33c0730d830ebbffbd9f8","What would a camper need to do before he or she can start cooking food?","camper","  A) make breakfast
  B) go hiking
  C) pack or bag
  D) light fire
  E) grab a match","D","D","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"bfd14dedb440ae1c266c61aa22960778","What could happen to a paper if you leave it outside even if it does not move?","paper","  A) one material often recycled
  B) ripped
  C) saturated with water
  D) one dimensional
  E) crumpled","C","C","0.9","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"5a953b5fb26f1614640574f65410e8b0","Mark's semen was very thick, but after his vasectomy it was also what?","thick","  A) blank
  B) sparse
  C) thin
  D) clear
  E) free flowing","D","C","0.9","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","C","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"ac0351d8649fb60af40c5638061a2e21","What is a great place to lay in the sun?","sun","  A) in the basement
  B) west
  C) solar system
  D) beach
  E) beans","D","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","1.0","CORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"c8b18acf8e95172ff79b0a837e9369f3","Where would you find a seafood restaurant in the east coast of North America?","seafood restaurant","  A) maine
  B) boston
  C) beach town
  D) coastal cities
  E) ocean","A","D","0.9","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","D","0.95","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT"
"7a7ff4499a7162265ddac0c3e2e8e5fc","The president is the leader of what institution?","president","  A) walmart
  B) white house
  C) country
  D) corporation
  E) government","E","E","1.0","CORRECT","C","0.9","INCORRECT","","0.5","INCORRECT","E","1.0","CORRECT","C","0.9","INCORRECT","","0.5","INCORRECT","E","1.0","CORRECT","C","0.9","INCORRECT","","0.5","INCORRECT","E","1.0","CORRECT","C","0.9","INCORRECT","","0.5","INCORRECT","E","1.0","CORRECT","C","0.9","INCORRECT","","0.5","INCORRECT"
"fb721d7949d06915a2dd6fc6ec815325","Sitting to close while watching TV can cause what sort of pain?","watching tv","  A) brain problems
  B) laziness
  C) get fat
  D) headache
  E) laughter","D","D","0.9","CORRECT","D","0.9","CORRECT","","0.5","INCORRECT","D","0.95","CORRECT","D","0.9","CORRECT","","0.5","INCORRECT","D","0.98","CORRECT","D","0.9","CORRECT","","0.5","INCORRECT","D","0.99","CORRECT","D","0.9","CORRECT","","0.5","INCORRECT","D","0.99","CORRECT","D","0.9","CORRECT","","0.5","INCORRECT"
