"id","code","input","gold_output","M_output","M_confidence","M_Correctness","P_output","P_confidence","P_Correctness","Q_output","Q_confidence","Q_Correctness","M_output_d1","M_confidence_d1","M_Correctness_d1","P_output_d1","P_confidence_d1","P_Correctness_d1","Q_output_d1","Q_confidence_d1","Q_Correctness_d1","M_output_d2","M_confidence_d2","M_Correctness_d2","P_output_d2","P_confidence_d2","P_Correctness_d2","Q_output_d2","Q_confidence_d2","Q_Correctness_d2","M_output_d3","M_confidence_d3","M_Correctness_d3","P_output_d3","P_confidence_d3","P_Correctness_d3","Q_output_d3","Q_confidence_d3","Q_Correctness_d3","M_output_d4","M_confidence_d4","M_Correctness_d4","P_output_d4","P_confidence_d4","P_Correctness_d4","Q_output_d4","Q_confidence_d4","Q_Correctness_d4"
"sample_0","def f(nums):
    output = []
    for n in nums:
        output.append((nums.count(n), n))
    output.sort(reverse=True)
    return output","[1, 1, 3, 1, 3, 1]","[(4, 1), (4, 1), (4, 1), (4, 1), (2, 3), (2, 3)]","[(4, 1), (2, 3)]","1.0","INCORRECT","","0.5","INCORRECT","","0.5","INCORRECT","[(4, 1), (2, 3)]","1.0","INCORRECT","[(4, 1), (2, 3)]","0.95","INCORRECT","","0.5","INCORRECT","[(4, 1), (2, 3)]","1.0","INCORRECT","[(4, 1), (2, 3)]","0.99","INCORRECT","","0.5","INCORRECT","[(4, 1), (2, 3)]","1.0","INCORRECT","[(4, 1), (2, 3)]","1.0","INCORRECT","","0.5","INCORRECT","[(4, 1), (2, 3)]","1.0","INCORRECT","[(4, 1), (2, 3)]","1.0","INCORRECT","","0.5","INCORRECT"
"sample_1","def f(a, b, c):
    result = {}
    for d in a, b, c:
        result.update(dict.fromkeys(d))
    return result","(1, ), (1, ), (1, 2)","{1: None, 2: None}","{1: None, 2: None}","1.0","CORRECT","{1: None, 2: None}","1.0","CORRECT","","0.5","INCORRECT","{1: None, 2: None}","1.0","CORRECT","{1: None, 2: None}","1.0","CORRECT","","0.5","INCORRECT","{1: None, 2: None}","1.0","CORRECT","{1: None, 2: None}","1.0","CORRECT","","0.5","INCORRECT","{1: None, 2: None}","1.0","CORRECT","{1: None, 2: None}","1.0","CORRECT","","0.5","INCORRECT","{1: None, 2: None}","1.0","CORRECT","{1: None, 2: None}","1.0","CORRECT","","0.5","INCORRECT"
"sample_2","def f(text):
    new_text = list(text)
    for i in '+':
        if i in new_text:
            new_text.remove(i)
    return ''.join(new_text)","'hbtofdeiequ'","'hbtofdeiequ'","hbtofdeiequ","1.0","CORRECT","hbtofdeiequ","1.0","CORRECT","","0.5","INCORRECT","hbtofdeiequ","1.0","CORRECT","hbtofdeiequ","1.0","CORRECT","","0.5","INCORRECT","hbtofdeiequ","1.0","CORRECT","hbtofdeiequ","1.0","CORRECT","","0.5","INCORRECT","hbtofdeiequ","1.0","CORRECT","hbtofdeiequ","1.0","CORRECT","","0.5","INCORRECT","hbtofdeiequ","1.0","CORRECT","hbtofdeiequ","1.0","CORRECT","","0.5","INCORRECT"
"sample_3","def f(text, value):
    text_list = list(text)
    text_list.append(value)
    return ''.join(text_list)","'bcksrut', 'q'","'bcksrutq'","bcksrutq","1.0","CORRECT","bcksrutq","1.0","CORRECT","","0.5","INCORRECT","bcksrutq","1.0","CORRECT","bcksrutq","1.0","CORRECT","","0.5","INCORRECT","bcksrutq","1.0","CORRECT","bcksrutq","1.0","CORRECT","","0.5","INCORRECT","bcksrutq","1.0","CORRECT","bcksrutq","1.0","CORRECT","","0.5","INCORRECT","bcksrutq","1.0","CORRECT","bcksrutq","1.0","CORRECT","","0.5","INCORRECT"
"sample_4","def f(array):
    s = ' '
    s += ''.join(array)
    return s","[' ', '  ', '    ', '   ']","'           '","     ","1.0","INCORRECT","     ","1.0","INCORRECT","","0.5","INCORRECT","     ","1.0","INCORRECT","     ","1.0","INCORRECT","","0.5","INCORRECT","     ","1.0","INCORRECT","     ","1.0","INCORRECT","","0.5","INCORRECT","     ","1.0","INCORRECT","     ","1.0","INCORRECT","","0.5","INCORRECT","     ","1.0","INCORRECT","     ","1.0","INCORRECT","","0.5","INCORRECT"
"sample_5","def f(text, lower, upper):
    count = 0
    new_text = list()
    for char in text:
        char = lower if char.isdecimal() else upper
        if char in ['p', 'C']:
            count += 1
        new_text.append(char)
    return count, ''.join(new_text)","'DSUWeqExTQdCMGpqur', 'a', 'x'","(0, 'xxxxxxxxxxxxxxxxxx')","(2, 'xxUWexxTQdxCMGpxqur')","1.0","INCORRECT","(2, 'axaxaxaxaxaxaxaxax')","1.0","INCORRECT","","0.5","INCORRECT","(2, 'xxUWexxTQdxCMGpxqur')","1.0","INCORRECT","(2, 'axaxaxaxaxaxaxaxax')","1.0","INCORRECT","","0.5","INCORRECT","(2, 'xxUWexxTQdxCMGpxqur')","1.0","INCORRECT","(2, 'axaxaxaxaxaxaxaxax')","1.0","INCORRECT","","0.5","INCORRECT","(2, 'xxUWexxTQdxCMGpxqur')","1.0","INCORRECT","(2, 'axaxaxaxaxaxaxaxax')","1.0","INCORRECT","","0.5","INCORRECT","(2, 'xxUWexxTQdxCMGpxqur')","1.0","INCORRECT","(2, 'axaxaxaxaxaxaxaxax')","1.0","INCORRECT","","0.5","INCORRECT"
"sample_6","def f(dic):
    for k,v in sorted(dic.items(), key=lambda x: len(str(x)))[:-1]:
        dic.pop(k)
    return list(dic.items())","{'11': 52, '65': 34, 'a': 12, '4': 52, '74': 31}","[('74', 31)]","[('74', 31)]","1.0","CORRECT","[('74', 31)]","1.0","CORRECT","","0.5","INCORRECT","[('74', 31)]","1.0","CORRECT","[('74', 31)]","1.0","CORRECT","","0.5","INCORRECT","[('74', 31)]","1.0","CORRECT","[('74', 31)]","1.0","CORRECT","","0.5","INCORRECT","[('74', 31)]","1.0","CORRECT","[('74', 31)]","1.0","CORRECT","","0.5","INCORRECT","[('74', 31)]","1.0","CORRECT","[('74', 31)]","1.0","CORRECT","","0.5","INCORRECT"
"sample_7","def f(list):
    original = list[:]
    while len(list) > 1:
        list.pop(len(list) - 1)
        for i in range(len(list)):
            list.pop(i)
    list = original[:]
    if list:
        list.pop(0)
    return list","[]","[]","[]","1.0","CORRECT","","1.0","INCORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT"
"sample_8","def f(string, encryption):
    if encryption == 0:
        return string
    else:
        return string.upper().encode('rot13')","'UppEr', 0","'UppEr'","'UppEr'","1.0","CORRECT","UppEr","1.0","CORRECT","","0.5","INCORRECT","'UppEr'","1.0","CORRECT","UppEr","1.0","CORRECT","","0.5","INCORRECT","'UppEr'","1.0","CORRECT","UppEr","1.0","CORRECT","","0.5","INCORRECT","'UppEr'","1.0","CORRECT","UppEr","1.0","CORRECT","","0.5","INCORRECT","'UppEr'","1.0","CORRECT","UppEr","1.0","CORRECT","","0.5","INCORRECT"
"sample_9","def f(t):
    for c in t:
        if not c.isnumeric():
            return False
    return True","'#284376598'","False","False","1.0","CORRECT","False","1.0","CORRECT","","0.5","INCORRECT","False","1.0","CORRECT","False","1.0","CORRECT","","0.5","INCORRECT","False","1.0","CORRECT","False","1.0","CORRECT","","0.5","INCORRECT","False","1.0","CORRECT","False","1.0","CORRECT","","0.5","INCORRECT","False","1.0","CORRECT","False","1.0","CORRECT","","0.5","INCORRECT"
"sample_10","def f(text):
    new_text = ''
    for ch in text.lower().strip():
        if ch.isnumeric() or ch in 'ÄäÏïÖöÜü':
            new_text += ch
    return new_text","''","''","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT"
"sample_11","def f(a, b):
    for key, value in b.items():
        if key not in a:
            a[key] = [value]
        else:
            a[key].append(value)
    return a","{}, {'foo': 'bar'}","{'foo': ['bar']}","{'foo': ['bar']}","1.0","CORRECT","{""foo"": [""bar""]}","1.0","CORRECT","","0.5","INCORRECT","{""foo"": [""bar""]}","1.0","CORRECT","{""foo"": [""bar""]}","1.0","CORRECT","","0.5","INCORRECT","{""foo"": [""bar""]}","1.0","CORRECT","{""foo"": [""bar""]}","1.0","CORRECT","","0.5","INCORRECT","{""foo"": [""bar""]}","1.0","CORRECT","{""foo"": [""bar""]}","1.0","CORRECT","","0.5","INCORRECT","{""foo"": [""bar""]}","1.0","CORRECT","{""foo"": [""bar""]}","1.0","CORRECT","","0.5","INCORRECT"
"sample_12","def f(s, x):
    count = 0
    while s[:len(x)] == x and count < len(s)-len(x):
        s = s[len(x):]
        count += len(x)
    return s","'If you want to live a happy life! Daniel', 'Daniel'","'If you want to live a happy life! Daniel'","'If you want to live a happy life! '","1.0","INCORRECT","!","1.0","INCORRECT","","0.5","INCORRECT","'If you want to live a happy life! '","1.0","INCORRECT","!","0.9","INCORRECT","","0.5","INCORRECT","'If you want to live a happy life! '","1.0","INCORRECT","'If you want to live a happy life! '","0.95","INCORRECT","","0.5","INCORRECT","'If you want to live a happy life! '","1.0","INCORRECT","'If you want to live a happy life! '","0.98","INCORRECT","","0.5","INCORRECT","'If you want to live a happy life! '","1.0","INCORRECT","'If you want to live a happy life! '","0.99","INCORRECT","","0.5","INCORRECT"
